CODE;LIBELLE;URL
17197;Jonzac;https://upload.wikimedia.org/wikipedia/commons/e/e0/Blason_ville_fr_Jonzac_%28Charente-Maritime%29.svg
17299;Rochefort;https://upload.wikimedia.org/wikipedia/commons/3/34/Blason_ville_fr_Rochefort_%28Charente-Maritime%29.svg
17300;La Rochelle;https://upload.wikimedia.org/wikipedia/commons/5/52/Blason_ville_fr_LaRochelle_17.svg
17415;Saintes;https://upload.wikimedia.org/wikipedia/commons/7/70/Blason_ville_fr_Saintes_%28Charente-Maritime%29.svg
17347;Saint-Jean-d'Angély;https://upload.wikimedia.org/wikipedia/commons/2/2a/Blason_ville_fr_Saint-Jean-d%27Ang%C3%A9ly_%28Charente-Maritime%29.svg
18033;Bourges;https://upload.wikimedia.org/wikipedia/commons/0/0d/Blason_de_Bourges.svg
18197;Saint-Amand-Montrond;https://upload.wikimedia.org/wikipedia/commons/4/49/Blason_ville_fr_Saint-Amand-Montrond_%28Cher%29.svg
18279;Vierzon;https://upload.wikimedia.org/wikipedia/commons/8/80/Blason_Vierzon.svg
19031;Brive-la-Gaillarde;https://upload.wikimedia.org/wikipedia/commons/c/c3/Blason_ville_fr_Brive-la-Gaillarde_%28Corr%C3%A8ze%29.svg
19272;Tulle;https://upload.wikimedia.org/wikipedia/commons/3/30/Blason_tulle.svg
19275;Ussel;https://upload.wikimedia.org/wikipedia/commons/d/d7/Blason_Ville_fr_Ussel_%28Corr%C3%A8ze%29.svg
21054;Beaune;https://upload.wikimedia.org/wikipedia/commons/2/23/Blason_de_la_ville_de_Beaune_%2821%29.svg
21231;Dijon;https://upload.wikimedia.org/wikipedia/commons/7/72/Blason_ville_fr_Dijon_%28C%C3%B4te-d%27Or%29.svg
21425;Montbard;https://upload.wikimedia.org/wikipedia/commons/7/72/Blason_ville_fr_Montbard_%28C%C3%B4te-d%27Or%29.svg
22050;Dinan;https://upload.wikimedia.org/wikipedia/commons/5/5c/Blason_ville_fr_Dinan_%28C%C3%B4tes-d%27Armor%29.svg
22070;Guingamp;https://upload.wikimedia.org/wikipedia/commons/f/f1/CoA_br_Gwengamp.svg
22113;Lannion;https://upload.wikimedia.org/wikipedia/commons/a/ad/Blason_de_la_ville_de_Lannion_%28C%C3%B4tes-d%27Armor%29.svg
22278;Saint-Brieuc;https://upload.wikimedia.org/wikipedia/commons/3/30/Blason_Saint-Brieuc.svg
23008;Aubusson;https://upload.wikimedia.org/wikipedia/commons/c/c3/Blason_Aubusson_23.svg
23096;Guéret;https://upload.wikimedia.org/wikipedia/commons/d/d3/Blason_ville_fr_Gu%C3%A9ret_23.svg
24037;Bergerac;https://upload.wikimedia.org/wikipedia/commons/6/67/Blason_ville_fr_Bergerac2_%28Dordogne%29.svg
24311;Nontron;https://upload.wikimedia.org/wikipedia/commons/a/ac/Blason_ville_fr_Nontron_%28Dordogne%29.svg
24322;Périgueux;https://upload.wikimedia.org/wikipedia/commons/6/60/Blason_ville_fr_P%C3%A9rigueux_%28Dordogne%29.svg
24520;Sarlat-la-Canéda;https://upload.wikimedia.org/wikipedia/commons/5/55/Blason_ville_fr_Sarlat-la-Can%C3%A9da_%28Dordogne%29.svg
25056;Besançon;https://upload.wikimedia.org/wikipedia/commons/2/28/Blason_ville_fr_Besan%C3%A7on_%28Doubs%29.svg
25388;Montbéliard;https://upload.wikimedia.org/wikipedia/commons/4/49/Blason_ville_fr_Montb%C3%A9liard.svg
25462;Pontarlier;https://upload.wikimedia.org/wikipedia/commons/0/07/Blason_ville_fr_Pontarlier.svg
26113;Die;https://upload.wikimedia.org/wikipedia/commons/a/ae/Blason_ville_fr_Die_26.svg
26220;Nyons;https://upload.wikimedia.org/wikipedia/commons/2/2a/Blason_Nyons.svg
26362;Valence;https://upload.wikimedia.org/wikipedia/commons/f/fa/Blason_ville_fr_Valence_%28Drome%29.svg
27016;Les Andelys;https://upload.wikimedia.org/wikipedia/commons/3/3a/Blason_ville_fr_Les_Andelys_%28Eure%29.svg
27056;Bernay;https://upload.wikimedia.org/wikipedia/commons/e/ee/Blason_actuel_de_Bernay.svg
27229;Évreux;https://upload.wikimedia.org/wikipedia/commons/3/3d/Blason_ville_fr_Evreux_%28Eure%29.svg
28085;Chartres;https://upload.wikimedia.org/wikipedia/commons/2/27/Blason_Chartres.svg
28088;Châteaudun;https://upload.wikimedia.org/wikipedia/commons/7/71/Blason_ville_fr_Ch%C3%A2teaudun_%28Eure-et-Loir%29.svg
28134;Dreux;https://upload.wikimedia.org/wikipedia/commons/1/1a/Blason_ville_fr_Dreux_%28Eure-et-Loir%29.svg
28280;Nogent-le-Rotrou;https://upload.wikimedia.org/wikipedia/commons/a/a0/Blason_ville_fr_Nogent-le-Rotrou_%28Eure-et-Loir%29.svg
29019;Brest;https://upload.wikimedia.org/wikipedia/commons/a/a3/Blason_de_Brest.svg
29026;Châteaulin;https://upload.wikimedia.org/wikipedia/commons/6/65/Blason_ville_fr_Ch%C3%A2teaulin_%28Finist%C3%A8re%29.svg
29151;Morlaix;https://upload.wikimedia.org/wikipedia/commons/d/d9/Blason_ville_fr_Morlaix_%28Finist%C3%A8re%29.svg
29232;Quimper;https://upload.wikimedia.org/wikipedia/commons/6/62/Blason_ville_fr_Quimper_%28Finist%C3%A8re%29.svg
2A004;Ajaccio;https://upload.wikimedia.org/wikipedia/commons/2/22/Blason_ville_fr_Ajaccio.svg
2A272;Sartène;https://upload.wikimedia.org/wikipedia/commons/d/d3/Blason_ville_fr_Sart%C3%A8ne_%28Corse_du_Sud%29.svg
2B033;Bastia;https://upload.wikimedia.org/wikipedia/commons/5/58/Blason_Ville_fr_Bastia.svg
2B096;Corte;https://upload.wikimedia.org/wikipedia/commons/4/40/Blason_ville_fr_Corte_%28Haute-Corse%29_2.svg
2B050;Calvi;https://upload.wikimedia.org/wikipedia/commons/a/a5/Blason_ville_fr_Calvi_%28Haute-Corse%29.svg
30007;Alès;https://upload.wikimedia.org/wikipedia/commons/b/b3/Blason_ville_fr_Ales_%28Gard%29.svg
30189;Nîmes;https://upload.wikimedia.org/wikipedia/commons/0/01/Blason_ville_fr_N%C3%AEmes_%28Gard%29.svg
30350;Le Vigan;https://upload.wikimedia.org/wikipedia/commons/b/b6/Blason_ville_fr_Le_Vigan_%28Gard%29.svg
31395;Muret;https://upload.wikimedia.org/wikipedia/commons/4/44/Blason_ville_fr_Muret_%28Haute-Garonne%29.svg
